X	intensity_IB_1_24	intensity_IB2_1_24	intensity_KR_1_24	intensity_IB_30_6	intensity_IB2_30_6	intensity_KR_30_6
206|L	NA	4995800	NA	NA	219920000	NA
207|L	NA	4995800	NA	NA	110450000	NA
208|L	NA	34871000	NA	NA	165100000	NA
209|L	NA	NA	NA	1465400	NA	NA
210|L	798900	NA	NA	NA	NA	NA
211|L	NA	145140000	NA	NA	202360000	NA
212|L	NA	145140000	NA	NA	202360000	NA
213|L	NA	1967400	NA	NA	NA	NA
214|L	43170000	1305200000	160710000	43379000	1.622e+09	62995000
215|L	NA	3896200	NA	NA	NA	NA
216|L	NA	3896200	NA	NA	NA	NA
217|L	2939100	NA	NA	1846600	NA	NA
218|L	NA	10458000	NA	NA	6294500	NA
219|L	NA	692510	NA	NA	NA	NA
220|L	NA	NA	NA	375820	2900600	NA
221|L	NA	10231000	NA	NA	8627600	NA
222|L	NA	11989000	NA	NA	6991300	NA
223|L	6358100	21627000	NA	18672000	63532000	NA
224|L	48168000	834250000	48540000	88388000	1816400000	17402000
225|L	48645000	859350000	44463000	77265000	1834300000	18343000
226|L	2789400	382360000	15689000	1788500	188110000	NA
227|L	27395000	381760000	42619000	21814000	656280000	96588000
229|L	NA	NA	NA	745580	NA	NA
231|L	934410	855010	NA	2265700	3935100	NA
232|L	938490	384520000	2693900	5989500	751840000	2048800
233|L	10066000	207600000	2357700	2503100	335700000	12205000
234|L	687130	8623700	NA	11904000	90092000	2058200
237|L	1529400	11916000	NA	794070	6076300	NA
239|L	6032500	4784900000	16910000	1662000	1.144e+10	1303000
240|L	8295600	190830000	2813100	8091300	244760000	389390
242|L	NA	NA	NA	1036100	NA	NA
243|L	NA	3956700	NA	NA	77843000	NA
244|L	NA	3956700	NA	NA	73395000	NA
247|L	NA	1501600	NA	NA	NA	25514000
248|L	10176000	642700000	10357000	226560	1076800000	5459000
249|L	10292000	405920000	7708500	13957000	727070000	6299600
250|L	NA	32072000	1666600	380340	58509000	2709700
251|L	1455400	25529000	247880	281970	4851300	NA
252|L	NA	NA	NA	NA	5736100	NA
253|L	NA	NA	NA	NA	5736100	NA
256|L	NA	2508600	10781000	NA	3528800	NA
257|L	NA	NA	10781000	1371300	NA	NA
258|L	2335900	25462000	767710	2002500	18410000	NA
259|L	NA	436260	NA	NA	3165700	NA
262|L	NA	13127000	NA	NA	24251000	NA
263|L	2873500	NA	344740	NA	NA	NA
264|L	NA	NA	NA	348790	NA	NA
265|L	NA	1134400	NA	NA	NA	NA
