id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
366	NA	NA	NA	NA	-1.08810137509197	1.15140425073462	NA	NA	NA	NA	-0.279248741033899	0.512176309114141	1.60027768420611	0.0740576109307243	7.92373394242415	0.00529784403458878	0.34893212634738	-2.44901546557753
1743	0.353662044745063	0.0311128408502493	NA	NA	NA	NA	-0.453735217160647	1.74312715259193	NA	NA	NA	NA	1.38946510784687	0.418541705256649	7.73092626804294	0.0056635983233532	0.34893212634738	-2.4651359286619
99	NA	NA	0.266156863646618	1.43130202799592	NA	NA	NA	NA	-0.0149951258196266	-1.15027289730617	NA	NA	1.44629715381554	0.133047717129185	7.55376962420748	0.00603018669839326	0.34893212634738	-2.48084909782095
148	NA	NA	NA	NA	-0.684596074757221	1.45585980938618	NA	NA	NA	NA	-0.117803032435133	0.592732094867074	1.27732816962429	0.311548199265226	7.19759923502664	0.00686956142740907	0.34893212634738	-2.51532485675499
1504	NA	NA	1.16877038350082	1.02609181434133	NA	NA	NA	NA	-0.72470682648705	-1.97943023913741	NA	NA	1.75079864082838	-0.127318716945577	6.73151180579078	0.00822261469672851	0.34893212634738	-2.56713559931959
846	NA	NA	0.396817102869038	0.212507085294479	NA	NA	NA	NA	-2.46809209084944	-0.0520271979121135	NA	NA	2.68059917614392	-0.477698775149509	6.728385434891	0.00823284859344918	0.34893212634738	-2.56751188291028
1388	NA	-0.0145170209480972	NA	NA	-0.58198908971266	-0.0800447304782574	NA	0.22411862388086	NA	NA	-0.226839416800811	-0.00128187506576744	0.693407464120206	-0.113425584854122	3.59597666815896	0.0166934182066205	0.414873092408034	-2.695723813746
1086	0.198242681607614	0.45185729447654	NA	NA	NA	NA	-0.0254266364316767	-1.04635481129481	NA	NA	NA	NA	-1.24459749290242	-0.105420367910583	-4.92239100588866	0.0187350207457405	0.438934771757348	-2.87595315190667
1711	-0.183945519576201	NA	NA	NA	0.315079574434671	0.148192026834715	0.103347364323489	NA	NA	NA	0.00304642489243633	-0.782540274724303	-0.848107302153538	-0.0661367339691986	-3.30892336210571	0.0225472494011039	0.499695797537978	-2.92182621212133
255	-0.0857875829817062	0.200127654273602	NA	NA	NA	NA	-0.0152283876145749	0.732225776875346	NA	NA	NA	NA	0.818013359857052	0.207834365138167	4.47849173417503	0.023850644208234	0.514671796072419	-2.99114860245174
1748	NA	NA	NA	NA	-0.384414205444113	-0.0842573102999781	NA	NA	NA	NA	0.0426443374084937	0.43349363984688	0.817907845290993	0.00186661537782075	3.72199684268163	0.0377592201291087	0.591859151466835	-3.24334666043949
503	NA	NA	NA	0.243898886590752	-0.314609685477631	0.444902416879948	NA	NA	NA	-0.00209450157022083	0.0471952446224141	0.463015301277652	0.668066779411833	0.147051277053819	2.86482178929703	0.0368407990179677	0.591859151466835	-3.30544318689122
1793	0.0203421795171858	0.258699815569903	NA	NA	NA	NA	0.499067737839628	-0.711771389578665	NA	NA	NA	NA	-0.732113569095851	0.0165845858370128	-3.39414058701929	0.0471041054325356	0.591859151466835	-3.38007829639149
465	0.18707931221868	0.35147607302765	0.0814750022174959	-0.524999663375561	0.527900191255891	0.141740181511588	0.081094164959218	0.274114600062909	1.48296566359357	-0.853339473901044	0.346130580003987	-0.320968590261358	-0.923266273547382	0.147889003442752	-2.52180519876525	0.0287212212712746	0.569920639330324	-3.46264606041535
1539	-3.66745160025976	-0.0474363380494455	-1.96008324334094	NA	NA	NA	-3.09461730132828	0.506267475384511	-1.70029530641493	NA	NA	NA	3.19014092872185	-1.66060271900147	2.64430733063078	0.0475581767423392	0.591859151466835	-3.51063578670032
