id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
4006	NA	0.186015702514741	NA	0.155197380514973	0.650652588716435	0.218869090925349	NA	0.129579623432294	NA	0.0272516454571647	0.188234768237237	-0.185534034723677	-0.617571598975239	0.171283345634315	-3.71768116533203	0.00590924567425815	0.437527737670722	-2.36302079096517
6459	NA	-0.25429297155834	0.119068469693492	0.211706830723378	NA	NA	NA	0.223911304935068	-0.421912545960632	-0.155722203868893	NA	NA	0.639721613789855	-0.0462068526726545	4.38174242552715	0.00468513396737686	0.437527737670722	-2.38608464060772
5605	0.840509964323619	NA	NA	NA	0.367161717714285	0.11040032738433	-0.370992050637966	NA	NA	NA	-0.159357427648231	-0.308607662790112	-0.912443503809064	0.0798524780576542	-4.05592494857512	0.00671384006976421	0.437527737670722	-2.55247024320603
1978	NA	-0.100915836748982	NA	NA	0.313262961137988	-0.0419417984587951	NA	-0.299927053237963	NA	NA	-0.256793263416713	-0.605738687073881	-0.76609583129391	-0.165342279633058	-3.95728407090928	0.00751004005485855	0.437527737670722	-2.60640840830238
6427	-0.0228950885138436	0.173833189414463	NA	NA	0.111486228049806	NA	-0.136294599649763	-0.566682196482769	NA	NA	-0.0274890520854769	NA	-0.61097776625075	-0.0780069198779305	-3.85434224517534	0.00845519678504854	0.437527737670722	-2.66454044891503
4823	NA	0.353105878697811	NA	NA	0.851296534204885	0.159434339939273	NA	0.261137199963186	NA	NA	-0.0663408434127215	0.0682810143180412	-0.686587427064271	0.271152353951746	-3.78953155320209	0.00911797017838885	0.437527737670722	-2.70212279768001
3027	NA	NA	0.119986974637161	NA	0.435311998883808	-0.0541770781875849	NA	NA	0.129296568518255	NA	0.110655509453949	-0.341967790085394	-0.624272073786426	0.0665176972033657	-3.68201393361826	0.0103487852392292	0.437527737670722	-2.76617495119397
1768	NA	NA	NA	0.153756949947532	0.757101811719706	0.132473928801665	NA	NA	NA	0.359016319136606	0.386349111202	-0.219602554743002	-0.79002461411744	0.261515927677418	-3.65970737808713	0.0106266262366009	0.437527737670722	-2.77973321957918
5815	-0.595567214718326	-0.0185590427181633	NA	NA	NA	0.13508423553224	-0.589054642862904	-0.00555082295738481	NA	NA	NA	0.0434072893385565	0.614495447908912	-0.171706699730997	3.61519264951511	0.0112061511641894	0.437527737670722	-2.80706920365307
2009	0.356291077801291	0.143195069086019	0.123126731067076	0.0134434170928503	1.22913798284699	-0.33116356872905	0.0567263254123555	-0.136445493994964	0.234964509866322	-0.123370830817119	-0.613921673647307	-0.186695885547984	-0.710030510988232	0.0637739717030398	-2.84035925050274	0.0149017223123637	0.442899083685115	-2.82021216472789
