id	1h_vs_ud|IB	30m_vs_ud|IB	1h_vs_ud|IB2	30m_vs_ud|IB2	1h_vs_ud|KR	30m_vs_ud|KR	1d_vs_ud|IB	6h_vs_ud|IB	1d_vs_ud|IB2	6h_vs_ud|IB2	1d_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
2279	NA	0.0407601408568121	NA	NA	-0.593955119362525	-0.216206450389377	NA	0.0172328029342644	NA	NA	0.106831968478475	0.175939479744515	0.690541260701914	-0.0782328629563058	3.55395589221872	0.0114962342279138	0.304693387266533	-2.58459117340668
1511	-0.233474374187616	NA	NA	NA	-0.652859102306475	0.147213774132524	-0.199602782061662	NA	NA	NA	-0.356833623980853	0.400356769281452	0.843523507528497	-0.149199889853772	3.51920085520337	0.0119993354151606	0.304693387266533	-2.61289726404698
1514	0.24709887450933	NA	NA	NA	0.520306344287112	0.659385818677852	-0.0242611283134565	NA	NA	NA	0.447572821353378	-0.447697342552086	-0.831399951950306	0.233734231327021	-3.49079850910356	0.012428485766145	0.304693387266533	-2.6362102244669
2568	0.898757323549084	0.260342336839397	NA	-0.0318830041603144	NA	NA	-0.840204429473269	-1.05164174523568	NA	-0.0740055585988072	NA	NA	-1.44051969824708	-0.139772512846599	-3.47007632790613	0.012752234400106	0.304693387266533	-2.6533217582758
1190	-0.202669365483329	NA	NA	NA	-0.579252834105937	-0.0265990370439522	0.0401892834475975	NA	NA	NA	0.0671947962844457	0.311160578526161	0.702121678320794	-0.0649960963958355	3.38838451136125	0.0141217842462033	0.316327967114953	-2.72162083016051
2260	NA	0.431150811961017	NA	NA	-0.357830999365061	0.0299692205663335	NA	0.204273112891458	NA	NA	0.0290676764465187	0.388921451540481	0.654428281581031	0.120925212340125	3.22855199171368	0.017291449617863	0.338646725034885	-2.85910652487105
3341	-0.0267844491464784	NA	NA	NA	-0.339192473721659	-0.139906429371886	-0.034254773004499	NA	NA	NA	-0.195364879512927	0.456032624362277	0.639021085796346	-0.0465783967325288	3.22728788817457	0.0173194263466257	0.338646725034885	-2.86021405138694
4576	NA	0.158312677597952	NA	0.489093910139743	-0.0481731116505487	-0.0132720985721029	NA	0.896732074193122	NA	0.340699249655479	0.709563844070758	0.523288466934272	0.684544595406261	0.382030626546084	2.94551650866017	0.0181539070286706	0.345043507440172	-2.91728484766291
5394	-0.582393792227057	NA	NA	0.2727619496312	NA	0.13084876872235	2.14639959099261	NA	NA	0.211189764029973	NA	-0.060174989756481	0.688687272164417	0.353105215232098	3.13200364256482	0.0195770739161668	0.345043507440172	-2.94459428444019
2435	NA	-0.103560427329825	NA	NA	-0.391881237263886	-0.403326998052133	NA	0.232260335201028	NA	NA	-0.119080463062367	0.205365150984801	0.6106939803568	-0.096703939920397	3.08349619015427	0.0208476529826609	0.351601190680052	-2.98822472991463
