id	1h_vs_ud|IB	1d_vs_ud|IB	30m_vs_ud|IB	6h_vs_ud|IB	1h_vs_ud|IB2	1d_vs_ud|IB2	30m_vs_ud|IB2	6h_vs_ud|IB2	1h_vs_ud|KR	1d_vs_ud|KR	30m_vs_ud|KR	6h_vs_ud|KR	logFC	AveExpr	t	P.Value	adj.P.Val	B
8104	NA	NA	0.229865130463291	-0.195561677324884	1.12892484047181	0.0312705502900406	0.271198744300356	0.226146106466329	NA	NA	0.135702640919339	0.0419596369447864	-1.10474348510973	0.233688246566383	-4.77077493440435	0.00150700467247045	0.0328031023050002	-0.687209547753569
3941_1	0.387915870032028	0.17832808433995	0.00783793626362149	0.167448082310835	0.913832866575695	0.0845735677838701	0.100748669146578	-0.376012988488021	0.586105689219331	0.268079419600883	0.0871437066899907	-0.11536204183537	-0.737260457946537	0.190886571803283	-4.32744232502988	0.00102057557859724	0.0277808625031146	-0.695236652387401
4517_1	0.851629953702428	-0.442532435615714	0.457687833731445	-0.488028190057308	0.794309547654859	-0.529913915293593	-0.0611941209717279	0.102059917993359	0.500814963952368	-0.111729139112479	0.21957609593185	-0.00624628971064806	-0.846323009028084	0.107202851850403	-4.31199982889545	0.00104846110913798	0.0281740318558104	-0.721988818362063
2368	NA	NA	-0.701407026619135	-0.468703558414971	0.679691732182511	0.438962179601503	-0.638306223962595	-0.339984546221924	NA	NA	NA	NA	-1.08403578450096	-0.171624573905769	-5.39164476472737	0.0018631374552962	0.0363089397981673	-0.725490515273818
1984	1.27113656478239	0.124341528901868	1.2624508084141	0.533297353589167	1.16314600271998	0.188699017906309	1.21357873514738	0.53684043339098	1.14900018554043	0.0993344401078934	1.30817523473663	0.531933374848466	-0.660403863738064	0.7818278066738	-4.30459624075609	0.00106211015543104	0.0281795301997907	-0.734824105285762
544	1.02144865476787	-0.529340471850771	1.48684773413897	0.716396796766449	1.23887783492817	-0.336228083920021	1.60531989110944	0.252714288552894	1.51048444648819	-0.2743453021177	1.22026923583292	0.0135695315591841	-0.929376773101901	0.6605012130213	-4.26366435758749	0.0011409782341455	0.029459801899005	-0.805895816650178
5320	-0.179823649013281	-0.882503733877409	-0.115238821917142	0.266175409241702	-1.07471967079963	-0.705918886258802	0.106546929476587	0.764670247230102	-0.82500201370975	-0.377394759130368	-0.183378064844592	0.0071540544290761	1.03918168147451	-0.266619413264459	4.25791687866662	0.00115253041780458	0.029459801899005	-0.815890132254371
4354	NA	NA	0.552842551797836	-0.423713476710473	1.49779586668495	0.443586396161551	-0.26579904742289	-0.991218614600263	NA	NA	NA	NA	-2.20526191234032	0.135582279318452	-5.24170547923108	0.00214154502073832	0.0390319857692828	-0.853276872045068
4684	0.439013138425488	-0.271175494954614	0.803041800314647	-0.233633656057846	0.70948647748859	-0.31213376134166	0.482556201866903	-0.0715632465056136	0.398106064159957	0.0209544041517972	0.688589540225381	-0.0657720965378703	-0.639191559725122	0.21562244760293	-4.23140089193777	0.00120742118438836	0.0298359818254498	-0.862045149303261
595_3	0.267081223339063	0.0624167213368358	0.0165871266512558	-1.07654508984551	0.0623786336447246	0.0811313148897946	-0.478756706616917	-0.654882977384725	0.0421246989084252	-0.196237784673049	-0.084511015316965	-0.323465409569326	-0.808826010897257	-0.190223272053033	-4.22836551209452	0.00121387566245348	0.0298359818254498	-0.867333491806954
5319	-0.179823649013281	-0.882503733877409	-0.115238821917142	0.266175409241702	-1.07471967079963	-0.705918886258802	0.106546929476587	0.764670247230102	-0.82500201370975	-0.377394759130368	-0.174910537744592	-0.0067858928709239	1.03453503237451	-0.267075448281126	4.22355128542364	0.00122418627718926	0.0298359818254498	-0.875723014129279
7090_1	NA	NA	1.73031268624421	0.311911243787435	2.3424147501529	0.3863106916802	2.03060735425955	0.233521116206731	NA	NA	NA	NA	-2.06969857015582	1.17251297372184	-5.17982225755818	0.00227009678239444	0.0401510133563781	-0.907061370333641
5777	0.374369609772133	-0.0342926855036416	0.120240958354205	-0.57613238569582	0.458592947033963	-0.328583604925461	0.235432411763213	-0.471830386055403	0.16288467680038	-0.576804022463873	0.678242333991104	-0.237514145524667	-0.760441383627455	-0.0162828577044892	-4.18955791090491	0.00129962632610309	0.0313105376955411	-0.935031211072884
3125	0.299207295923027	0.426573253149076	-0.0948498352101102	-0.264942706595184	0.179903912998161	0.453757376875223	0.258829079519068	-0.541372317711064	1.21804626303593	0.516519981409349	-0.088016249263216	-1.60045090057264	-1.367974465612	0.0636004294631352	-4.1798043732628	0.00132215098550334	0.0314912325638067	-0.952070443209472
3127	NA	NA	0.37870530478989	-0.729433813795184	1.69080457349816	1.63158427687522	1.45112877801907	-0.277135811111064	NA	NA	0.115190571436784	-1.14459767487264	-2.40786034009112	0.38953077560503	-4.55116628677403	0.00199389379490775	0.03765046301015	-0.95471410901143
